write.freebs.write      19.77    
write.local.write       5.47    
read.freebs.read        169.93    
read.local.read         1.60    
randr.freebs.read       203.84    
randr.local.read        0.81    
randw.freebs.write      162.82
randw.local.write       2.55
iometer.freebs.write    48321.61
iometer.local.write     384.00
iometer.freebs.read     48501.78
iometer.local.read      380.70
